,pep1,pep2,pep3,pep4,pep1_2,pep2_2,pep3_2,pep4_2,pep1_indiv,pep2_indiv,pep3_indiv,pep4_indiv,pep5_indiv,pep6_indiv,pep7_indiv,pep8_indiv,pep1_2_indiv,pep2_2_indiv,pep3_2_indiv,pep4_2_indiv,pep5_2_indiv,pep6_2_indiv,pep7_2_indiv,pep8_2_indiv
77,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
78,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
79,7,10,12,12,7,7,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
80,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
81,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
82,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
83,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
84,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
85,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
86,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
87,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
88,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
89,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,10,7,6,7
90,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
91,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
92,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
93,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
94,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
95,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
96,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
97,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
98,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
